,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,birthplace,birthplace:confidence,date_of_birth,date_of_birth:confidence,race_ethnicity,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,biourl,birthplace_gold,date_of_birth_gold,movie,person,race_ethnicity_gold,religion_gold,sexual_orientation_gold,year_of_award_gold
274,670454627,False,finalized,3,2/10/15 1:51,India,1.0,5-Nov-13,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1952,1.0,Best Actress,http://www.nndb.com/people/470/000022404/,,,A Streetcar Named Desire,Vivien Leigh,,,,
276,670454629,False,finalized,3,2/10/15 2:00,Belgium,1.0,4-May-29,1.0,White,1.0,Christian Science,1.0,Straight,1.0,1954,1.0,Best Actress,http://www.nndb.com/people/933/000026855/,,,Roman Holiday,Audrey Hepburn,,,,
278,670454631,False,finalized,3,2/10/15 4:07,Italy,1.0,7-Mar-08,1.0,White,1.0,Na,1.0,Straight,1.0,1956,1.0,Best Actress,http://www.nndb.com/people/806/000063617/,,,The Rose Tattoo,Anna Magnani,,,,
279,670454632,False,finalized,3,2/10/15 4:07,Sweden,1.0,29-Aug-15,1.0,White,1.0,Na,1.0,Straight,1.0,1957,1.0,Best Actress,http://www.nndb.com/people/836/000024764/,,,Anastasia,Ingrid Bergman,,,,
282,670454635,False,finalized,3,2/10/15 2:00,Germany,1.0,25-Mar-21,1.0,White,1.0,Na,1.0,Straight,1.0,1960,1.0,Best Actress,http://www.nndb.com/people/804/000063615/,,,Room at the Top,Simone Signoret,,,,
283,670454636,False,finalized,3,2/10/15 2:04,England,1.0,27-Feb-32,1.0,White,1.0,Jewish,1.0,Straight,1.0,1961,1.0,Best Actress,http://www.nndb.com/people/624/000023555/,,,Butterfield 8,Elizabeth Taylor,,,,
284,670454637,False,finalized,3,2/10/15 1:51,Italy,1.0,20-Sep-34,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1962,1.0,Best Actress,http://www.nndb.com/people/811/000023742/,,,Two Women,Sophia Loren,,,,
287,670454640,False,finalized,3,2/10/15 3:45,England,1.0,1-Oct-35,1.0,White,1.0,Na,1.0,Straight,1.0,1965,1.0,Best Actress,http://www.nndb.com/people/874/000023805/,,,Mary Poppins,Julie Andrews,,,,
288,670454641,False,finalized,3,2/10/15 1:59,India,1.0,14-Apr-41,1.0,White,1.0,Na,1.0,Straight,1.0,1966,1.0,Best Actress,http://www.nndb.com/people/801/000063612/,,,Darling,Julie Christie,,,,
289,670454642,True,golden,86,,England,1.0,27-Feb-32,1.0,White,1.0,Jewish,1.0,Straight,1.0,1967,1.0,Best Actress,http://www.nndb.com/people/624/000023555/,"London, England",,Who's Afraid of Virginia Woolf?,Elizabeth Taylor,,,,1967.0
293,670454646,True,golden,89,,England,1.0,28-Dec-34,1.0,White,1.0,Na,1.0,Straight,1.0,1970,1.0,Best Actress,http://www.nndb.com/people/260/000030170/,"Ilford, Essex, England",,The Prime of Miss Jean Brodie,Maggie Smith,,,,
294,670454647,False,finalized,3,2/10/15 2:06,England,1.0,9-May-36,1.0,White,1.0,Na,1.0,Straight,1.0,1971,1.0,Best Actress,http://www.nndb.com/people/799/000063610/,,,Women in Love,Glenda Jackson,,,,
297,670454650,False,finalized,3,2/10/15 2:05,England,1.0,9-May-36,1.0,White,1.0,Na,1.0,Straight,1.0,1974,1.0,Best Actress,http://www.nndb.com/people/799/000063610/,,,A Touch of Class,Glenda Jackson,,,,
313,670454666,False,finalized,3,2/10/15 1:59,England,1.0,7-Jun-09,1.0,White,1.0,Na,1.0,Straight,1.0,1990,1.0,Best Actress,http://www.nndb.com/people/017/000023945/,,,Driving Miss Daisy,Jessica Tandy,,,,
316,670454669,False,finalized,3,2/10/15 1:51,England,1.0,15-Apr-59,1.0,White,1.0,Na,1.0,Straight,1.0,1993,1.0,Best Actress,http://www.nndb.com/people/627/000025552/,,,Howards End,Emma Thompson,,,,
327,670454680,False,finalized,3,2/10/15 2:01,South Africa,1.0,7-Aug-75,1.0,White,1.0,Na,1.0,Straight,1.0,2004,1.0,Best Actress,http://www.nndb.com/people/146/000026068/,,,Monster,Charlize Theron,,,,
330,670454683,False,finalized,3,2/10/15 4:02,England,1.0,26-Jul-45,1.0,White,1.0,Na,1.0,Straight,1.0,2007,1.0,Best Actress,http://www.nndb.com/people/907/000044775/,,,The Queen,Helen Mirren,,,,
331,670454684,False,finalized,3,2/10/15 2:02,France,1.0,30-Sep-75,1.0,White,1.0,Na,1.0,Straight,1.0,2008,1.0,Best Actress,http://www.nndb.com/people/723/000136315/,,,The Passionate Life of Edith Piaf,Marion Cotillard,,,,
332,670454685,False,finalized,3,2/10/15 2:02,England,1.0,5-Oct-75,1.0,White,1.0,Na,1.0,Straight,1.0,2009,1.0,Best Actress,http://www.nndb.com/people/582/000023513/,,,The Reader,Kate Winslet,,,,
334,670454687,False,finalized,3,2/10/15 2:03,Israel,1.0,9-Jun-81,1.0,White,1.0,Jewish,1.0,Straight,1.0,2011,1.0,Best Actress,http://www.nndb.com/people/040/000022971/,,,Black Swan,Natalie Portman,,,,
337,670454690,False,finalized,3,2/10/15 2:13,Australia,1.0,14-May-69,1.0,White,1.0,Na,1.0,Straight,1.0,2014,1.0,Best Actress,http://www.nndb.com/people/222/000026144/,,,Blue Jasmine,Cate Blanchett,,,,
